game_id,time_elapsed,lead_diff,home_win,N_window,n_window,prior,alpha,beta,win_prob
401856600,92,0,1,30779,20385,,1,1,0.6622916734349111
401856600,93,0,1,30583,20255,,1,1,0.6622854340362923
401856600,94,0,1,30404,20134,,1,1,0.6622048279944748
401856600,95,0,1,30221,20010,,1,1,0.6621116368328757
401856600,96,0,1,30052,19900,,1,1,0.6621747521128635
401856600,97,0,1,29891,19783,,1,1,0.6618271836215837
401856600,98,0,1,29729,19668,,1,1,0.6615653694796677
401856600,99,0,1,29560,19548,,1,1,0.6612881401799607
401856600,100,0,1,29394,19431,,1,1,0.6610423186828139
401856600,101,0,1,29233,19319,,1,1,0.6608517188301694
401856600,102,0,1,29068,19203,,1,1,0.6606123151014792
401856600,103,0,1,28907,19093,,1,1,0.6604863537306721
401856600,104,0,1,28741,18987,,1,1,0.6606130188219741
401856600,105,0,1,28579,18877,,1,1,0.6605087295755921
401856600,106,0,1,28435,18780,,1,1,0.6604423814045082
401856600,107,0,1,28280,18674,,1,1,0.6603139806237183
401856600,108,0,1,28129,18571,,1,1,0.6601969357648146
401856600,109,0,1,27999,18480,,1,1,0.6600121424234848
401856600,110,0,1,27880,18389,,1,1,0.6595653109533032
401856600,111,0,1,27777,18311,,1,1,0.659202995068217
401856600,112,0,1,27685,18244,,1,1,0.6589735254812727
401856600,113,0,1,27589,18171,,1,1,0.6586205646768873
401856600,114,0,1,27508,18110,,1,1,0.6583424209378408
401856600,115,0,1,27428,18052,,1,1,0.6581480131243165
401856600,116,0,1,27357,18002,,1,1,0.6580284367118682
401856600,117,0,1,27281,17950,,1,1,0.6579555034270425
401856600,118,0,1,27208,17897,,1,1,0.6577728776185227
401856600,119,0,1,27120,17842,,1,1,0.6578792124474596
401856600,120,0,1,27027,17789,,1,1,0.6581819527174516
401856600,121,0,1,26936,17740,,1,1,0.6585863835474052
401856600,122,0,1,26832,17678,,1,1,0.6588283520906313
401856600,123,2,1,24106,17141,,1,1,0.7110502737680438
401856600,124,2,1,24028,17098,,1,1,0.7115688722430296
401856600,125,2,1,23939,17045,,1,1,0.7120003341547972
401856600,126,2,1,23878,17012,,1,1,0.7124371859296482
401856600,127,2,1,23817,16971,,1,1,0.7125404089172509
401856600,128,2,1,23749,16924,,1,1,0.7126015746705402
401856600,129,2,1,23658,16857,,1,1,0.7125105663567202
401856600,130,2,1,23573,16794,,1,1,0.712407211028632
401856600,131,2,1,23485,16739,,1,1,0.7127347043045089
401856600,132,2,1,23414,16689,,1,1,0.7127605056371712
401856600,133,2,1,23320,16620,,1,1,0.7126747277248949
401856600,134,2,1,23243,16565,,1,1,0.7126693912669392
401856600,135,2,1,23181,16525,,1,1,0.7128499331406635
401856600,136,2,1,23118,16487,,1,1,0.7131487889273357
401856600,137,2,1,23050,16443,,1,1,0.713343744577477
401856600,138,2,1,22994,16400,,1,1,0.7132109932162115
401856600,139,2,1,22927,16357,,1,1,0.7134196868594357
401856600,140,2,1,22869,16322,,1,1,0.713698570241791
401856600,141,2,1,22809,16286,,1,1,0.7139976327210557
401856600,142,2,1,22732,16230,,1,1,0.7139526700096771
401856600,143,2,1,22660,16179,,1,1,0.7139705233430412
401856600,144,0,1,24426,16251,,1,1,0.6653021123301129
401856600,145,0,1,24313,16167,,1,1,0.6649393378572898
401856600,146,0,1,24215,16085,,1,1,0.664244126027171
401856600,147,0,1,24113,15997,,1,1,0.6634045200082936
401856600,148,0,1,24014,15915,,1,1,0.6627248500999334
401856600,149,0,1,23907,15832,,1,1,0.6622192479819314
401856600,150,0,1,23808,15754,,1,1,0.6616967660646788
401856600,151,0,1,23689,15666,,1,1,0.6613059811742856
401856600,152,0,1,23563,15570,,1,1,0.6607680882664969
401856600,153,0,1,23440,15473,,1,1,0.6600972613258255
401856600,154,0,1,23322,15371,,1,1,0.65906362545018
401856600,155,0,1,23207,15274,,1,1,0.6581498556594425
401856600,156,0,1,23098,15191,,1,1,0.6576623376623376
401856600,157,0,1,22993,15110,,1,1,0.6571428571428571
401856600,158,0,1,22901,15034,,1,1,0.6564642186613108
401856600,159,0,1,22837,14980,,1,1,0.6559394019002583
401856600,160,0,1,22769,14933,,1,1,0.6558341750472092
401856600,161,0,1,22701,14891,,1,1,0.6559485530546624
401856600,162,0,1,22631,14846,,1,1,0.6559890425484911
401856600,163,0,1,22575,14805,,1,1,0.655800150595739
401856600,164,2,1,21261,15163,,1,1,0.7131637116117199
401856600,165,2,1,21199,15115,,1,1,0.712985236545446
401856600,166,2,1,21137,15076,,1,1,0.7132314679029282
401856600,167,2,1,21076,15041,,1,1,0.7136350697409621
401856600,168,2,1,21031,15010,,1,1,0.7136880140731232
401856600,169,2,1,20991,14983,,1,1,0.7137617301005097
401856600,170,2,1,20947,14959,,1,1,0.7141152322306554
401856600,171,2,1,20902,14934,,1,1,0.7144565633371603
401856600,172,2,1,20857,14906,,1,1,0.714655544369337
401856600,173,2,1,20810,14867,,1,1,0.7143955410340188
401856600,174,2,1,20779,14835,,1,1,0.7139213704826525
401856600,175,2,1,20742,14798,,1,1,0.7134111068260702
401856600,176,2,1,20706,14766,,1,1,0.713106045972571
401856600,177,2,1,20662,14727,,1,1,0.7127371273712737
401856600,178,2,1,20618,14686,,1,1,0.7122696411251213
401856600,179,2,1,20571,14637,,1,1,0.7115150925970932
401856600,180,2,1,20524,14598,,1,1,0.7112442755529572
401856600,181,2,1,20463,14551,,1,1,0.7110676765208893
401856600,182,2,1,20404,14510,,1,1,0.7111143781240812
401856600,183,2,1,20354,14473,,1,1,0.7110434269994105
401856600,184,2,1,20310,14439,,1,1,0.7109098070106341
401856600,185,4,1,14991,11320,,1,1,0.7550857066631095
401856600,186,4,1,14993,11327,,1,1,0.7554518172724242
401856600,187,4,1,14978,11318,,1,1,0.755607476635514
401856600,188,4,1,14961,11299,,1,1,0.755196150504578
401856600,189,4,1,14926,11269,,1,1,0.754957127545552
401856600,190,4,1,14889,11241,,1,1,0.7549526559666913
401856600,191,4,1,14856,11213,,1,1,0.7547449185623907
401856600,192,4,1,14821,11179,,1,1,0.7542332861094245
401856600,193,4,1,14790,11148,,1,1,0.753718226068145
401856600,194,4,1,14767,11124,,1,1,0.7532669781298666
401856600,195,4,1,14746,11104,,1,1,0.7529834553837809
401856600,196,4,1,14732,11084,,1,1,0.7523415230080087
401856600,197,4,1,14735,11075,,1,1,0.7515776616679107
401856600,198,4,1,14739,11071,,1,1,0.7511023675462994
401856600,199,4,1,14737,11060,,1,1,0.7504579686545899
