game_id,time_elapsed,lead_diff,home_win,N_window,n_window,prior,alpha,beta,win_prob
401851183,92,2,1,27422,19127,,1,1,0.6974912485414235
401851183,93,2,1,27301,19062,,1,1,0.6982016628209354
401851183,94,2,1,27177,18999,,1,1,0.6990691342580669
401851183,95,4,1,14453,10907,,1,1,0.7546177793151159
401851183,96,4,1,14489,10928,,1,1,0.7541922572631289
401851183,97,4,1,14533,10948,,1,1,0.7532851737186103
401851183,98,4,1,14571,10961,,1,1,0.7522129966376175
401851183,99,4,1,14614,10972,,1,1,0.7507525998905309
401851183,100,4,1,14662,10987,,1,1,0.7493180578286961
401851183,101,4,1,14710,11000,,1,1,0.7477569331158238
401851183,102,4,1,14765,11020,,1,1,0.7463262680300671
401851183,103,4,1,14818,11038,,1,1,0.7448717948717949
401851183,104,4,1,14875,11068,,1,1,0.7440344155407677
401851183,105,3,1,17857,13132,,1,1,0.7353715213617784
401851183,106,3,1,17901,13165,,1,1,0.7354074736077753
401851183,107,3,1,17937,13195,,1,1,0.7356039913038631
401851183,108,3,1,17981,13230,,1,1,0.7357504309625758
401851183,109,3,1,18026,13270,,1,1,0.7361326824938984
401851183,110,3,1,18077,13318,,1,1,0.7367111012777255
401851183,111,3,1,18114,13352,,1,1,0.7370832413336277
401851183,112,3,1,18153,13380,,1,1,0.7370421371522996
401851183,113,3,1,18167,13395,,1,1,0.7372997963564313
401851183,114,3,1,18180,13404,,1,1,0.7372676273237267
401851183,115,3,1,18188,13411,,1,1,0.737328202308961
401851183,116,3,1,18196,13417,,1,1,0.7373337729420816
401851183,117,3,1,18187,13410,,1,1,0.7373137610643796
401851183,118,3,1,18195,13416,,1,1,0.7373193383524757
401851183,119,3,1,18201,13423,,1,1,0.7374608581003131
401851183,120,3,1,18226,13444,,1,1,0.7376014922097871
401851183,121,3,1,18261,13486,,1,1,0.7384876526310026
401851183,122,3,1,18296,13528,,1,1,0.7393704229970488
401851183,123,3,1,18326,13568,,1,1,0.7403426451331296
401851183,124,3,1,18360,13604,,1,1,0.7409323603093345
401851183,125,3,1,18383,13625,,1,1,0.7411476747348382
401851183,126,3,1,18401,13648,,1,1,0.7416725533880345
401851183,127,3,1,18420,13671,,1,1,0.7421561176853761
401851183,128,3,1,18441,13690,,1,1,0.7423412676896384
401851183,129,3,1,18450,13688,,1,1,0.7418707999132885
401851183,130,3,1,18455,13682,,1,1,0.7413447472503657
401851183,131,3,1,18458,13684,,1,1,0.741332611050921
401851183,132,3,1,18468,13689,,1,1,0.7412019491066595
401851183,133,4,1,15245,11453,,1,1,0.7512297501147767
401851183,134,4,1,15242,11452,,1,1,0.7513119916032538
401851183,135,4,1,15236,11450,,1,1,0.7514765717285733
401851183,136,4,1,15233,11452,,1,1,0.7517558254020348
401851183,137,4,1,15234,11454,,1,1,0.7518377526909951
401851183,138,2,1,22994,16400,,1,1,0.7132109932162115
401851183,139,2,1,22927,16357,,1,1,0.7134196868594357
401851183,140,2,1,22869,16322,,1,1,0.713698570241791
401851183,141,2,1,22809,16286,,1,1,0.7139976327210557
401851183,142,2,1,22732,16230,,1,1,0.7139526700096771
401851183,143,2,1,22660,16179,,1,1,0.7139705233430412
401851183,144,2,1,22583,16127,,1,1,0.7141022802745185
401851183,145,2,1,22514,16077,,1,1,0.7140699946704565
401851183,146,2,1,22443,16022,,1,1,0.7138783693472934
401851183,147,2,1,22384,15981,,1,1,0.7139283480746895
401851183,148,2,1,22320,15938,,1,1,0.7140489203476391
401851183,149,2,1,22266,15906,,1,1,0.714343452487875
401851183,150,2,1,22229,15886,,1,1,0.7146327200755701
401851183,151,2,1,22188,15864,,1,1,0.7149616944569626
401851183,152,2,1,22129,15831,,1,1,0.7153766210293254
401851183,153,2,1,22074,15802,,1,1,0.715845261822794
401851183,154,2,1,22016,15766,,1,1,0.7160959215187573
401851183,155,2,1,21950,15726,,1,1,0.716426749271137
401851183,156,2,1,21869,15668,,1,1,0.7164281468611403
401851183,157,2,1,21777,15600,,1,1,0.7163322466596262
401851183,158,2,1,21691,15533,,1,1,0.7160835292490665
401851183,159,2,1,21618,15471,,1,1,0.7156336725254394
401851183,160,2,1,21545,15409,,1,1,0.7151807676242632
401851183,161,2,1,21461,15343,,1,1,0.7149047197502679
401851183,162,2,1,21383,15273,,1,1,0.7142389525368249
401851183,163,2,1,21324,15218,,1,1,0.7136359373534652
401851183,164,2,1,21261,15163,,1,1,0.7131637116117199
401851183,165,2,1,21199,15115,,1,1,0.712985236545446
401851183,166,2,1,21137,15076,,1,1,0.7132314679029282
401851183,167,2,1,21076,15041,,1,1,0.7136350697409621
401851183,168,2,1,21031,15010,,1,1,0.7136880140731232
401851183,169,2,1,20991,14983,,1,1,0.7137617301005097
401851183,170,2,1,20947,14959,,1,1,0.7141152322306554
401851183,171,2,1,20902,14934,,1,1,0.7144565633371603
401851183,172,2,1,20857,14906,,1,1,0.714655544369337
401851183,173,2,1,20810,14867,,1,1,0.7143955410340188
401851183,174,2,1,20779,14835,,1,1,0.7139213704826525
401851183,175,2,1,20742,14798,,1,1,0.7134111068260702
401851183,176,2,1,20706,14766,,1,1,0.713106045972571
401851183,177,0,1,21518,14253,,1,1,0.662360594795539
401851183,178,0,1,21427,14191,,1,1,0.6622800877315786
401851183,179,0,1,21342,14130,,1,1,0.6620595952023988
401851183,180,0,1,21242,14065,,1,1,0.662116362266993
401851183,181,0,1,21122,13987,,1,1,0.6621851921984473
401851183,182,0,1,21006,13910,,1,1,0.6621763137852247
401851183,183,0,1,20917,13845,,1,1,0.6618863234380229
401851183,184,0,1,20832,13786,,1,1,0.6617548238456369
401851183,185,0,1,20745,13723,,1,1,0.6614932279365692
401851183,186,0,1,20674,13666,,1,1,0.6610079319017218
401851183,187,0,1,20606,13609,,1,1,0.6604231366459627
401851183,188,0,1,20553,13562,,1,1,0.6598394551204086
401851183,189,0,1,20505,13515,,1,1,0.6590920173599258
401851183,190,0,1,20459,13470,,1,1,0.6583744685010507
401851183,191,0,1,20403,13412,,1,1,0.6573388875275668
401851183,192,0,1,20360,13359,,1,1,0.6561241528337098
401851183,193,0,1,20307,13301,,1,1,0.6549805504948545
401851183,194,0,1,20253,13250,,1,1,0.6542088373241175
401851183,195,0,1,20211,13209,,1,1,0.6535398011180923
401851183,196,0,1,20157,13166,,1,1,0.65315739868049
401851183,197,0,1,20094,13116,,1,1,0.6527169585987261
401851183,198,0,1,20032,13073,,1,1,0.6525905959868225
401851183,199,0,1,19969,13029,,1,1,0.6524460467678134
401851183,200,0,1,19903,12992,,1,1,0.6527505651846269
401851183,201,0,1,19851,12954,,1,1,0.6525462146778824
401851183,202,0,1,19800,12913,,1,1,0.6521563478436522
401851183,203,0,1,19764,12885,,1,1,0.6519275523626429
401851183,204,0,1,19738,12869,,1,1,0.6519756838905775
401851183,205,0,1,19718,12853,,1,1,0.6518255578093306
401851183,206,0,1,19700,12839,,1,1,0.6517104862450512
401851183,207,0,1,19682,12813,,1,1,0.6509855720382036
401851183,208,-3,1,13612,7675,,1,1,0.5638313500807992
401851183,209,-3,1,13564,7663,,1,1,0.5649417661801562
401851183,210,-3,1,13506,7646,,1,1,0.566108972460764
401851183,211,-3,1,13450,7626,,1,1,0.5669788878977103
401851183,212,-3,1,13402,7611,,1,1,0.5678901820352134
401851183,213,-3,1,13367,7600,,1,1,0.5685541177350587
401851183,214,-3,1,13346,7594,,1,1,0.5689991009889122
401851183,215,-3,1,13326,7585,,1,1,0.5691776710684273
401851183,216,-3,1,13309,7572,,1,1,0.5689279543234919
401851183,217,-3,1,13297,7559,,1,1,0.5684637942702458
401851183,218,-3,1,13277,7548,,1,1,0.5684916032833798
401851183,219,-3,1,13271,7543,,1,1,0.5683718827695321
401851183,220,-3,1,13265,7538,,1,1,0.5682520539684932
401851183,221,-3,1,13263,7537,,1,1,0.5682623445156426
401851183,222,-3,1,13257,7530,,1,1,0.5679915529074591
401851183,223,-3,1,13247,7519,,1,1,0.5675900067929655
401851183,224,-3,1,13224,7495,,1,1,0.566762437622864
401851183,225,-3,1,13200,7470,,1,1,0.5658991061960309
401851183,226,-3,1,13167,7446,,1,1,0.5654947224542486
401851183,227,-3,1,13140,7423,,1,1,0.564906406939583
401851183,228,-3,1,13116,7400,,1,1,0.5641866138130812
401851183,229,-3,1,13092,7379,,1,1,0.5636169237818849
401851183,230,-3,1,13063,7354,,1,1,0.5629544584768466
401851183,231,-3,1,13050,7343,,1,1,0.5626723873735826
401851183,232,-3,1,13046,7332,,1,1,0.5620018393623544
401851183,233,-3,1,13044,7322,,1,1,0.5613214778476161
401851183,234,-3,1,13039,7312,,1,1,0.5607698796104593
401851183,235,-3,1,13032,7304,,1,1,0.5604572656130121
401851183,236,-3,1,13019,7295,,1,1,0.5603256278319637
401851183,237,-3,1,13011,7293,,1,1,0.5605164066702528
401851183,238,-3,1,12993,7287,,1,1,0.5608310888803386
401851183,239,-3,1,12968,7278,,1,1,0.5612181958365459
401851183,240,-3,1,12938,7267,,1,1,0.5616692426584234
401851183,241,-3,1,12900,7253,,1,1,0.5622384126492017
401851183,242,-3,1,12864,7236,,1,1,0.5624902844706979
401851183,243,-3,1,12840,7223,,1,1,0.562529201059025
401851183,244,-3,1,12817,7209,,1,1,0.5624463686715032
401851183,245,-3,1,12804,7203,,1,1,0.5625488052475403
401851183,246,-3,1,12797,7200,,1,1,0.5626220798499882
401851183,247,-3,1,12804,7197,,1,1,0.5620802748711542
401851183,248,-3,1,12811,7191,,1,1,0.5613049246858659
401851183,249,-3,1,12824,7185,,1,1,0.5602682052081709
401851183,250,-3,1,12841,7180,,1,1,0.5591372732227673
401851183,251,-3,1,12859,7182,,1,1,0.5585102247103647
401851183,252,-3,1,12868,7178,,1,1,0.5578088578088578
401851183,253,-3,1,12878,7181,,1,1,0.5576086956521739
401851183,254,-3,1,12872,7179,,1,1,0.5577132204443064
401851183,255,-3,1,12873,7178,,1,1,0.5575922330097087
401851183,256,-3,1,12874,7181,,1,1,0.5577819198508853
401851183,257,-3,1,12875,7187,,1,1,0.5582045507493981
401851183,258,-3,1,12881,7194,,1,1,0.5584879298300085
401851183,259,-3,1,12882,7194,,1,1,0.5584445824278175
401851183,260,-3,1,12882,7190,,1,1,0.5581341198385594
401851183,261,-3,1,12888,7185,,1,1,0.5574864235841738
401851183,262,-3,1,12880,7179,,1,1,0.5573668684986803
401851183,263,-3,1,12865,7170,,1,1,0.5573171679490169
401851183,264,-3,1,12839,7159,,1,1,0.5575889728214314
401851183,265,-3,1,12808,7141,,1,1,0.5575331772053084
401851183,266,-3,1,12784,7126,,1,1,0.55740653840137655
401851183,267,-3,1,12760,7115,,1,1,0.5575928537846733
401851183,268,-3,1,12745,7114,,1,1,0.5581705499333176
401851183,269,-3,1,12734,7112,,1,1,0.5584956030150754
401851183,270,-3,1,12726,7106,,1,1,0.558375235700817
401851183,271,-3,1,12718,7098,,1,1,0.5580974842767296
401851183,272,-3,1,12711,7087,,1,1,0.5575395264689688
401851183,273,-3,1,12703,7076,,1,1,0.5570247933884298
401851183,274,-3,1,12679,7052,,1,1,0.5561864206292879
401851183,275,-3,1,12648,7029,,1,1,0.5557312252964427
401851183,276,-3,1,12613,7003,,1,1,0.5552120491478398
401851183,277,-3,1,12577,6984,,1,1,0.555290563637809
401851183,278,-3,1,12530,6958,,1,1,0.5552984360038302
